"filename", "language", "Vue", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\DELL\Desktop\Horizon-vue\.postcssrc.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 2, 11
"c:\Users\DELL\Desktop\Horizon-vue\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 8, 22
"c:\Users\DELL\Desktop\Horizon-vue\build\build.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\Users\DELL\Desktop\Horizon-vue\build\check-versions.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 10, 55
"c:\Users\DELL\Desktop\Horizon-vue\build\utils.js", "JavaScript", 0, 80, 0, 0, 0, 0, 5, 17, 102
"c:\Users\DELL\Desktop\Horizon-vue\build\vue-loader.conf.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\DELL\Desktop\Horizon-vue\build\webpack.base.conf.js", "JavaScript", 0, 74, 0, 0, 0, 0, 4, 5, 83
"c:\Users\DELL\Desktop\Horizon-vue\build\webpack.dev.conf.js", "JavaScript", 0, 82, 0, 0, 0, 0, 7, 7, 96
"c:\Users\DELL\Desktop\Horizon-vue\build\webpack.prod.conf.js", "JavaScript", 0, 114, 0, 0, 0, 0, 24, 8, 146
"c:\Users\DELL\Desktop\Horizon-vue\config\dev.env.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\DELL\Desktop\Horizon-vue\config\index.js", "JavaScript", 0, 37, 0, 0, 0, 0, 26, 16, 79
"c:\Users\DELL\Desktop\Horizon-vue\config\prod.env.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\DELL\Desktop\Horizon-vue\index.html", "HTML", 0, 0, 0, 0, 0, 17, 1, 2, 20
"c:\Users\DELL\Desktop\Horizon-vue\package-lock.json", "JSON", 0, 0, 0, 11890, 0, 0, 0, 1, 11891
"c:\Users\DELL\Desktop\Horizon-vue\package.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 1, 71
"c:\Users\DELL\Desktop\Horizon-vue\src\App.vue", "Vue", 32, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\DELL\Desktop\Horizon-vue\src\assets\style\index.css", "CSS", 0, 0, 31, 0, 0, 0, 1, 1, 33
"c:\Users\DELL\Desktop\Horizon-vue\src\components\index.vue", "Vue", 84, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\follow\follow.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 10, 29
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\main.vue", "Vue", 63, 0, 0, 0, 0, 0, 0, 14, 77
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\my\article\article.vue", "Vue", 56, 0, 0, 0, 0, 0, 0, 13, 69
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\my\article\detail.vue", "Vue", 55, 0, 0, 0, 0, 0, 0, 14, 69
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\my\my.css", "CSS", 0, 0, 118, 0, 0, 0, 4, 7, 129
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\my\my.vue", "Vue", 311, 0, 0, 0, 0, 0, 0, 33, 344
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\navbar\navbar.vue", "Vue", 46, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\square\square.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\square\square.vue", "Vue", 20, 0, 0, 0, 0, 0, 0, 10, 30
"c:\Users\DELL\Desktop\Horizon-vue\src\components\regist\failed.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\DELL\Desktop\Horizon-vue\src\components\regist\regist.css", "CSS", 0, 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\DELL\Desktop\Horizon-vue\src\components\regist\regist.vue", "Vue", 98, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\DELL\Desktop\Horizon-vue\src\components\regist\successful.vue", "Vue", 22, 0, 0, 0, 0, 0, 0, 8, 30
"c:\Users\DELL\Desktop\Horizon-vue\src\main.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 5, 36
"c:\Users\DELL\Desktop\Horizon-vue\src\router\index.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 7, 59
"c:\Users\DELL\Desktop\Horizon-vue\src\store\getters.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\DELL\Desktop\Horizon-vue\src\store\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\DELL\Desktop\Horizon-vue\src\store\moudles\article.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\DELL\Desktop\Horizon-vue\src\store\moudles\token.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\DELL\Desktop\Horizon-vue\src\store\moudles\userInfo.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 6, 22
