"filename", "language", "Vue", "Markdown", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\DELL\Desktop\Horizon-vue\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 2, 2, 11
"c:\Users\DELL\Desktop\Horizon-vue\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 8, 22
"c:\Users\DELL\Desktop\Horizon-vue\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\DELL\Desktop\Horizon-vue\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\DELL\Desktop\Horizon-vue\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 5, 17, 102
"c:\Users\DELL\Desktop\Horizon-vue\build\vue-loader.conf.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\DELL\Desktop\Horizon-vue\build\webpack.base.conf.js", "JavaScript", 0, 0, 74, 0, 0, 0, 4, 5, 83
"c:\Users\DELL\Desktop\Horizon-vue\build\webpack.dev.conf.js", "JavaScript", 0, 0, 82, 0, 0, 0, 7, 7, 96
"c:\Users\DELL\Desktop\Horizon-vue\build\webpack.prod.conf.js", "JavaScript", 0, 0, 114, 0, 0, 0, 24, 8, 146
"c:\Users\DELL\Desktop\Horizon-vue\config\dev.env.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\DELL\Desktop\Horizon-vue\config\index.js", "JavaScript", 0, 0, 37, 0, 0, 0, 26, 16, 79
"c:\Users\DELL\Desktop\Horizon-vue\config\prod.env.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\DELL\Desktop\Horizon-vue\index.html", "HTML", 0, 0, 0, 0, 17, 0, 1, 2, 20
"c:\Users\DELL\Desktop\Horizon-vue\package-lock.json", "JSON", 0, 0, 0, 11890, 0, 0, 0, 1, 11891
"c:\Users\DELL\Desktop\Horizon-vue\package.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 1, 71
"c:\Users\DELL\Desktop\Horizon-vue\src\App.vue", "Vue", 50, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\DELL\Desktop\Horizon-vue\src\assets\style\index.css", "CSS", 0, 0, 0, 0, 0, 31, 1, 1, 33
"c:\Users\DELL\Desktop\Horizon-vue\src\components\coderain\coderain.vue", "Vue", 68, 0, 0, 0, 0, 0, 0, 15, 83
"c:\Users\DELL\Desktop\Horizon-vue\src\components\index.vue", "Vue", 84, 0, 0, 0, 0, 0, 0, 10, 94
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\follow\articlelist\articlelist.vue", "Vue", 61, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\DELL\Desktop\Horizon-vue\src\components\main\follow\articlelist\detail.vue", "Vue", 117, 0, 0, 0, 0, 0, 0, 20, 137
